gamma;family;category;brand;reference;ean13;stock;description;details;wholesale_price;image;energy_class_png;energy_class_string
"Pequenos Domesticos";Pequeno-almoço;Cafeteiras;"Bosch | Pequenos Domesticos";061126;4242002594958;2;"Cafeteira Bosch TKA-8011 CX.2";"1160 W<br />  10/15 chávenas<br />  Jarro vidro<br />  1,25l<br />  Função ""Volume Automatic"" para um aroma ideal<br />  Função ""Dual Heating System"": o melhor paladar de café<br />  Devido à ideal regulação da temperatura na preparação da bebida ou na manutenção do café quente<br />  Sistema Antigota";62,43;https://www.orima.pt/backoffice/img/front/prods/4242002594958/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002594958/4242002594958.png;
"Pequenos Domesticos";Pequeno-almoço;Cafeteiras;"Bosch | Pequenos Domesticos";061129;4242002874340;1;"Cafeteira Bosch TKA-6-A-041 CX.4";"Café com o máximo aroma exatamente como gosta, graças ao botão Aroma+.<br />  Tanque amovível de fácil enchimento.<br />  EasyDescale3: sistema prático de descalcificação.<br />  Sistema de desligar automático (tempo ajustável) para maior segurança e conforto.<br />  Fácil limpeza graças a grande abertura.<br />  Jarro em vidro especial Aroma para 10/15 chávenas (1.25 l)<br />  Potência: 1000-1200 W<br />  Botão Aroma+ para seleção individual do aroma do café<br />  EasyDescale3: programa de descalcificação, LED avisa quando necessário efetuar descalcificação, dureza da água selecionável<br />  desligar automático: aos 20,40 ou 60 minutos (selecionável)<br />  Tanque de água transparente e amovível com pega integrada - nível de água legível do exterior<br />  Suporte de filtro giratório e amovível (filtros 1 x 4)<br />  Sistema antigota<br />  Fácil armazenamento: fácil e rápido armazenamento do cabo";37,45;https://www.orima.pt/backoffice/img/front/prods/4242002874340/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002874340/4242002874340.png;
"Pequenos Domesticos";Pequeno-almoço;Torradeiras;"Bosch | Pequenos Domesticos";061211;4242002594934;2;"Torradeira Bosch TAT-8611 CX.4";"860 W<br />  2 aberturas<br />  AutoHeat Control<br />  Descongelar<br />  Regulador digital do nível de torragem<br />  Centragem automática<br />  Suporte para pãezinhos";62,43;https://www.orima.pt/backoffice/img/front/prods/4242002594934/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002594934/4242002594934.png;
"Pequenos Domesticos";Pequeno-almoço;Torradeiras;"Bosch | Pequenos Domesticos";061217;4242002879475;2;"Torradeira Bosch TAT-6-A-111 CX.4";"Para duas fatias pequenas <br />  Potência: 915-1090 W <br />  Suporte para pãezinhos em aço inoxidável, Integrado Aquecimento irradiante <br />  Centragem automática do pão <br />  Regulação electrónica do grau de tostagem. <br />  Sensor electrónico para uma tostagem uniforme Controlo de tostagem variável, com função aquecimento integrada <br />  Função descongelar com botão independente <br />  Sistema de elevação Hi-Lift, para fácil remoção das mais pequenas fatias de pão <br />  Bandeja recolhe-migalhas amovível para uma fácil limpeza <br />  Tecla stop com interruptor luminoso <br />  Desligar automático quando o pão fica preso <br />  Fácil armazenamento: fácil e rápido armazenamento do cabo<br />  Dimensões da cavidade da torradeira (mm):136x32x119,5<br />  ";30,66;https://www.orima.pt/backoffice/img/front/prods/4242002879475/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002879475/4242002879475.png;
"Pequenos Domesticos";Pequeno-almoço;Torradeiras;"Bosch | Pequenos Domesticos";061218;4242002880181;2;"Torradeira Bosch TAT-6-A-803 CX.4";"1 abertura larga para uma fatia de pão comprida ou duas fatias pequenas <br />  Potência: 915-1090 W <br />  Suporte para pãezinhos em aço inoxidável, Integrado <br />  Aquecimento irradiante <br />  Centragem automática do pão <br />  Regulação electrónica do grau de tostagem. <br />  Sensor electrónico para uma tostagem uniforme Controlo de tostagem variável, com função aquecimento integrada <br />  Função descongelar com botão independente <br />  Sistema de elevação Hi-Lift, para fácil remoção das mais pequenas fatias de pão <br />  Bandeja recolhe-migalhas amovível para uma fácil limpeza <br />  Tecla stop com interruptor luminoso <br />  Desligar automático quando o pão fica preso <br />  Fácil e rápido armazenamento do cabo<br />  ";41,37;https://www.orima.pt/backoffice/img/front/prods/4242002880181/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002880181/4242002880181.png;
"Pequenos Domesticos";Cozinha;Liquidificadores;"Bosch | Pequenos Domesticos";061299;4242002855356;2;"Liquidificador Bosch MMB-42-G-0-B CX.1";"700 W<br />  Jarro em vidro ThermoSafe (2,3l) para uma preparação segura de sopas quentes e bebidas frias<br />  Lâminas em aço inoxidável KlickKnife de fácil limpeza: precisão a cortar, picar e misturar<br />  Apto para picar gelo";65,01;https://www.orima.pt/backoffice/img/front/prods/4242002855356/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002855356/4242002855356.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061309;4242002717616;2;"Jarro Bosch TWK-3-A-011 CX4";"2400 Watt<br />  Para 1.7 l de água <br />  Desligar automático<br />  Desligar ao levantar<br />  Base interior em aço inoxidável com resistência oculta <br />  Protecção contra sobre-aquecimento <br />  Filtro de calcário removível <br />  Base 360º <br />  Duplo indicador do nível de água <br />  Fácil enchimento através do bico ou da tampa <br />  Abertura larga para fácil limpeza <br />  Tampa de segurança com desligar automático interruptor on/off iluminado <br />  Pés anti-deslizantes <br />  Recolhedor de cabo <br />  ";23,64;https://www.orima.pt/backoffice/img/front/prods/4242002717616/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002717616/4242002717616.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061313;4242002880211;1;"Jarro Bosch TWK-6-A-011 CX.4";"Capacidade: 1.7 l <br />  Potência: 2000-2400 W indicador ""uma chávena"": para pequenas quantidades (300 ml) <br />  Grande indicador de nível de água: boa visibilidade para destros e esquerdinos <br />  Sem fio: base com rotação 360º <br />  Base interior em aço inoxidável com elemento de aquecimento oculto <br />  Filtro anti calcário em aço inoxidável amovível <br />  Tampa com fecho de segurança <br />  Desligar automático: o jarro desliga-se automaticamente quando a água está a ferver <br />  Protecção contra sobre-aquecimento e ferver em seco Desligar ao levantar: <br />  Fácil limpeza graças a abertura larga 90ºC <br />  Fácil e rápido armazenamento do cabo<br />  ";30,66;https://www.orima.pt/backoffice/img/front/prods/4242002880211/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002880211/4242002880211.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061314;4242002880303;2;"Jarro Bosch TWK-6-A-813 CX.4";"Capacidade:1,70 L<br />  Sinal de pronto a funcionar:Óptico<br />  Filtro:Filtro calc.inox no bico despe<br />  Tipo aparelho, Chaleira:Chaleira de uinox sem fio<br />  Desligar automático ao levantar o jarro<br />  Tipo de aquecimento:Aquecimento coberto X<br />  Material do corpo Inox<br />  Placa aquecedora na base:Inox<br />  Cor secundária:Preto<br />  Sem fio<br />  Desligar aotomático ao ferver<br />  Botão para abertura da tampa<br />  Bloqueio da tampa";41,37;https://www.orima.pt/backoffice/img/front/prods/4242002880303/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002880303/4242002880303.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061315;4242002901923;1;"Jarro Bosch TWK-7203 CX.4";"2200 W. <br />  Sem fio. <br />  Jarro electrico com parede dupla em aço inoxidável. <br />  Capacidade 1,7 l. <br />  TemperatureControl7: operação TouchControl com 7 opções de temperatura, dos 70ºC-100ºC. <br />  Perfeito para tea lovers. <br />  Resistência oculta. <br />  Desligar automático ao ferver e ao levantar da base. <br />  Proteção contra sobreaqueciemento.";74,91;https://www.orima.pt/backoffice/img/front/prods/4242002901923/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002901923/4242002901923.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061317;4242002880273;1;"Jarro Bosch TWK-6-A-014 CX.4";"2400 W. <br />  Sem fio. <br />  Capacidade 1,7 l. <br />  Resistência oculta. <br />  Triplo sistema de segurança: desligar automático ao ferver, protecção contra sobreaquecimento e funcionamento em vazio, desligar automático ao levantar da base.";30,66;https://www.orima.pt/backoffice/img/front/prods/4242002880273/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002880273/4242002880273.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061320;4242002697772;2;"Jarro Bosch TWK-7801 CX.4";"Capacidade: 1.7 l<br />  Potência: 1850-2200 W<br />  Base interior em aço inoxidável com elemento de aquecimento oculto<br />  Filtro anti-calcário removível<br />  Sem fio: base com rotação 360º<br />  Indicador de nível de água visível do exterior<br />  Abert.tampa c/pressão tecla<br />  Tampa com fecho de segurança<br />  Interruptor ligar/desligar luminoso<br />  Desligar automático: o jarro desliga-se automaticamente quando a água está a ferver<br />  Protecção contra sobre-aquecimento e ferver em seco<br />  Fácil armazenamento: fácil e rápido armazenamento do cabo<br />  ";30,66;https://www.orima.pt/backoffice/img/front/prods/4242002697772/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002697772/4242002697772.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061327;4242005188031;2;"Jarro Bosch TWK-3-P-420 CX.2";"2400 W. Sem fio. Corpo em aço inoxidável. Capacidade 1,7 l. Indicador de água em litros e número de chávenas permite aquecer a quantidade de água necessária para um aquecimento mais rápido e maior poupança energética. Resistência oculta. Triplo sistema de segurança: desligar automático ao ferver, protecção contra sobreaquecimento e funcionamento em vazio.";32,5;https://www.orima.pt/backoffice/img/front/prods/4242005188031/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005188031/4242005188031.png;
"Pequenos Domesticos";Pequeno-almoço;"Jarros Electricos";"Bosch | Pequenos Domesticos";061329;4242005253241;2;"Jarro Bosch TWK-3-P-421 CX.2";"2400 W. Sem fio. Corpo em aço inoxidável. Capacidade 1,7 l. Indicador de água em litros e número de chávenas permite aquecer a quantidade de água necessária para um aquecimento mais rápido e maior poupança energética. Resistência oculta. Triplo sistema de segurança: desligar automático ao ferver, protecção contra sobreaquecimento e funcionamento em vazio.";32,5;https://www.orima.pt/backoffice/img/front/prods/4242005253241/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005253241/4242005253241.png;
"Pequenos Domesticos";Roupa;"Ferros De Engomar A Vapor";"Bosch | Pequenos Domesticos";061473;4242002909202;2;"Ferro Bosch TDA-5029010 CX4";". Potência: 2900 W máx.<br />  . Super vapor: 190 g<br />  . Vapor constante: 45 g/min<br />  . Base em CeraniumGlissée com canais de vapor e design em 3 fases: para um deslizar e uma distribuição de vapor perfeitos<br />  . Regulador de vapor de 5 posições<br />  . 3 AntiCalc: triplo sistema anticalcário com<br />  - autolimpeza automática<br />  - sistema anti-calc integrado<br />  - calc´n´clean<br />  . Vapor vertical<br />  . Depósito de grande capacidade (350 ml), fácil e rápido de encher<br />  . QuickFilling: bocal extra largo para um reenchimento mais rápido e fácil<br />  . Design ergonómico para um engomar confortável:<br />  - pega confortável em SoftTouch<br />  - Descanso de polegar conveniente<br />  - Botões ergonomicamente largos<br />  . Regulação contínua da temperatura<br />  . Função vaporizador na pega<br />  . Ponta de precisão para fácil engomar em torno de botões e costuras<br />  . Sistema antipingos Drip Stop<br />  . Cabo eléctrico extra longo com 2 m de articulação flexível e fácil arrumação<br />  ·	Luz piloto indicador do termostáto<br />  ·	Acessórios opcionais: Textile Protector TDZ1101<br />  ·	Acessório opcional: solução de descalcificação TDZ1101<br />  	<br />  ";35,7;https://www.orima.pt/backoffice/img/front/prods/4242002909202/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002909202/4242002909202.png;
"Pequenos Domesticos";Roupa;"Ferros Com Caldeira";"Bosch | Pequenos Domesticos";061474;4242002963686;2;"Ferro Bosch TDI-903231-H - Caldeira Incorp. CX4";"Potência: 3450 W max. | Super vapor: 220 g<br />  Vapor constante: 65 g/min<br />  MotorSteam: maior penetração de vapor em tecidos, graças a gerador de vapor integrado<br />  AdvancedSteam System: distribuição optimizada do vapor através de inovador e avançado design da base<br />  Base em CeraniumGlissée com linhas de esmalte, canais de vapor e design de 3 fases - para um óptimo deslizar e distribuição de vapor<br />  Programa hygiene: uma combinação especial de temoeratura e vapor intermitente remove até 99% de bactérias em qualquer tecido apto a engomar<br />  i-Temp Advanced: a combinação perfeita de temperatura e vapor para todos os tecidos<br />  O visor TempOK informa sempre que a temperaura seleccionada é alcançada (seja aquecimento ou arrefecimento)<br />  SteamOnDemand: produz vapor enquanto o gatilho de activação de vapor é premido<br />  3 níveis de regulação de vapor para um óptimo cuidado de todos os tecidos: eco / max / sem vapor<br />  4AntiCalc: 4 funções de limpeza com auto-limpeza, calcn´n´clean, anti-calc System integrado e líquido de limpeza descalcificador<br />  Vapor vertical contínuo 65 gr/min para refrescar a roupa<br />  Depósito de grande capacidade (400 ml), fácil e rápido de encher<br />  Larga abertura com tampa para fácil e rápido enchimento / esvaziamento<br />  Design ergonómico: Apoio para o polegar e botões largos para um máximo conforto durante a passagem<br />  Regulação contínua da temperatura<br />  Função vaporizador na pega";64,49;https://www.orima.pt/backoffice/img/front/prods/4242002963686/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002963686/4242002963686.png;
"Pequenos Domesticos";Roupa;"Ferros De Engomar A Vapor";"Bosch | Pequenos Domesticos";061476;4242002865348;2;"Ferro Bosch TDA-1024210 CX4";"Potência: 2400 W máx.<br />  Super vapor: 140 g<br />  Extra vapor 35 g/min<br />  Base em Base Palladium Glissée com canais de vapor e design para uma passagem em 3 fases - distribuição ideal do vapor com um excelente deslize<br />  Regulação de intensidade de vapor: (0/1/2)<br />  3 AntiCalc: triplo sistema anticalcário com<br />  - autolimpeza automática<br />  - sistema anti-calc integrado<br />  - calc´n´clean<br />  Vapor vertical<br />  Depósito de grande capacidade (300 ml), fácil e rápido de encher<br />  Larga abertura com tampa para fácil e rápido enchimento / esvaziamento<br />  Design ergonómico para um engomar confortável:<br />  - pega confortável em SoftTouch<br />  - Descanso de polegar conveniente<br />  - Botões ergonomicamente largos<br />  Regulação contínua da temperatura<br />  Função vaporizador na pega<br />  Ponta de precisão para fácil engomar em torno de botões e costuras<br />  Sistema antipingos Drip Stop<br />  Cabo extra longo de 1.9 m com articulação flexível";35,45;https://www.orima.pt/backoffice/img/front/prods/4242002865348/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002865348/4242002865348.png;
"Pequenos Domesticos";Roupa;"Ferros Com Caldeira";"Bosch | Pequenos Domesticos";061483;4242005039562;1;"Ferro Caldeira Bosch TDS-2170 CX1";"Potência 2400W<br />  Reenchimento contínuo com depósito de 1.5l<br />  Pressão de vapr 4.5bar<br />  Super-vapor 240gr<br />  Vapor contínuo 110 gr/min<br />  Programa i-Temp: a combinação perfeita de temperatura e vapor para todos os tecidos para um engomar rápido e fácil sem ser necessário ordenar o tipo de roupa<br />  Sistema de desligar automático Secure<br />  Modo Eco<br />  Base em PalladiumGlissée<br />  Sistema Calc´nClean Easy";112,64;https://www.orima.pt/backoffice/img/front/prods/4242005039562/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005039562/4242005039562.png;
"Pequenos Domesticos";Roupa;"Ferros Com Caldeira";"Bosch | Pequenos Domesticos";061484;4242005039548;2;"Ferro Caldeira Bosch TDS-2140 CX1";"Potência 2400W<br />  Reenchimento contínuo com depósito de 1.5l<br />  Pressão de vapr 4.5bar<br />  Super-vapor 220gr<br />  Vapor contínuo 110 gr/min<br />  Programa i-Temp: a combinação perfeita de temperatura e vapor para todos os tecidos para um engomar rápido e fácil sem ser necessário ordenar o tipo de roupa<br />  Sistema de desligar automático Secure<br />  Modo Eco<br />  Base em PalladiumGlissée<br />  Sistema Calc´nClean Easy";101,78;https://www.orima.pt/backoffice/img/front/prods/4242005039548/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005039548/4242005039548.png;
"Pequenos Domesticos";Roupa;"Ferros Com Caldeira";"Bosch | Pequenos Domesticos";061485;4242005039524;1;"Ferro Caldeira Bosch TDS-2120 CX1";"Potência 2400W<br />  Reenchimento contínuo com depósito de 1.5l<br />  Pressão de vapr 4.5bar<br />  Super-vapor 200gr<br />  Vapor contínuo 110 gr/min<br />  Programa i-Temp: a combinação perfeita de temperatura e vapor para todos os tecidos para um engomar rápido e fácil sem ser necessário ordenar o tipo de roupa<br />  Sistema de desligar automático Secure<br />  Modo Eco<br />  Base em PalladiumGlissée<br />  Sistema Calc´nClean Easy";78,5;https://www.orima.pt/backoffice/img/front/prods/4242005039524/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005039524/4242005039524.png;
"Pequenos Domesticos";Roupa;"Ferros De Engomar A Vapor";"Bosch | Pequenos Domesticos";061487;4242002875002;2;"Ferro Bosch TDA-302801-W CX4";"Potência: 2800W<br />  Super-vapor: 180gr<br />  Vapor constante: 40 gr/min<br />  DripStop<br />  Depósito: 320ml<br />  Base multi-direcional em CeraniumGlissée<br />  3 AntiCalc: 3 sistemas anti-calcário";25,79;https://www.orima.pt/backoffice/img/front/prods/4242002875002/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002875002/4242002875002.png;
"Pequenos Domesticos";Roupa;"Ferros Com Caldeira";"Bosch | Pequenos Domesticos";061488;4242005122318;1;"Ferro Caldeira Bosch TDS-6580 CX1";"Potência (W) 2400<br />  Débito de vapor [g/min] 120<br />  Jato de vapor (gr/min) 470<br />  Pressão [Bar] 6.7<br />  Capacidade do reservatório 1.3<br />  Reservatório Amovível<br />  Enchimento Contínuo<br />  Regulação de Vapor<br />  Passagem na Vertical<br />  Indicador de Nível de água<br />  Spray de Água<br />  Sistema Anti-calcário<br />  Limpeza Automática<br />  Auto Off<br />  Segurança Elétrica<br />  Dry stop system<br />  <br />  ";217,14;https://www.orima.pt/backoffice/img/front/prods/4242005122318/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005122318/4242005122318.png;
"Pequenos Domesticos";Roupa;"Ferros De Engomar A Vapor";"Bosch | Pequenos Domesticos";061493;4242005087877;1;"Ferro Vapor Bosch TDA-753122-V CX4";"Potência: 3100W<br />  Super-vapor: 220gr<br />  Vapor constante: 50 gr/min<br />  VarioComfort: seleção do programa de engomar desejado de forma rápida e simples<br />  i-temp Advance: o programa ideal p/ qualquer tecido sem pré-seleção<br />  Programa AntiShine: programa especial para a proteção de tecidos escuros e delicados<br />  SensorSecure: ferro desliga-se automaticamente quando poisado, e aquece rapidamente quando levantado novamente.<br />  TempOK<br />  DripStop<br />  Depósito: 350ml<br />  Base em CeraniumGlissée<br />  3 AntiCalc";74,64;https://www.orima.pt/backoffice/img/front/prods/4242005087877/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005087877/4242005087877.png;
"Pequenos Domesticos";Casa;"Aspiradores Sem Saco";"Bosch | Pequenos Domesticos";061805;4242005076338;2;"Aspirador Bosch BGC-05-AAA-1";"700 W<br />  Nível de ruído: 78 dB<br />  Ultra-compacto e leve (4,4 kg)<br />  Filtro Hepa lavável<br />  Bocal para fendas e escova para estofos<br />  Capacidade de depósito 1,4l";70,05;https://www.orima.pt/backoffice/img/front/prods/4242005076338/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005076338/4242005076338.png;
"Pequenos Domesticos";Casa;"Aspiradores Com Saco";"Bosch | Pequenos Domesticos";061815;4242005178230;1;"Aspirador Bosch BGLS-4-K-432";"550 W. <br />  Silencioso: 69 dB, graças ao sistema SilenceSound System?. <br />  QuattroPower System. <br />  Filtro PureAir, para um ar de exaustão mais limpo. <br />  Escova comutável SilentClean Premium. <br />  Escova para pavimentos duros, indicada para limpeza de soalhos sensíveis.<br />  Bocal para fendas extra longo e escova para estofos. <br />  Capacidade saco 4 l. <br />  4 rodas para fácil mobilidade. <br />  Raio de ação: 10m.";102,39;https://www.orima.pt/backoffice/img/front/prods/4242005178230/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005178230/4242005178230.png;
"Pequenos Domesticos";Casa;"Aspiradores Com Saco";"Bosch | Pequenos Domesticos";061816;4242005177486;2;"Aspirador Bosch BGL-3-POWER-1";"550 W. <br />  75 dB. <br />  QuattroPower System. <br />  Filtro PureAir, para um ar de exaustão mais limpo. <br />  Escova comutável. <br />  Escova para pavimentos duros, indicada para limpeza de soalhos sensíveis. <br />  Bocal para fendas e escova para estofos. <br />  Capacidade saco 4 l. <br />  4 rodas para fácil mobilidade. <br />  Raio de ação: 10m.";84,6;https://www.orima.pt/backoffice/img/front/prods/4242005177486/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005177486/4242005177486.png;
"Pequenos Domesticos";Casa;"Aspiradores Sem Saco";"Bosch | Pequenos Domesticos";061821;4242005181841;2;"Aspirador Bosch BGS-1-K-330";"550 W. <br />  ProEnergy: indicado para quem a poupança energética é uma prioridade. <br />  79 dB. <br />  Filtro Hepa, indicado para pessoas com alergias. <br />  Escova comutável. <br />  Escova para pavimentos duros, indicada para limpeza de soalhos sensíveis.<br />  Bocal para fendas e escova para estofos. <br />  Capacidade de depósito 1,4 l. <br />  EasyClean System para um reduzido esforço de manutenção.  <br />  Raio de ação: 8 m.";111,98;https://www.orima.pt/backoffice/img/front/prods/4242005181841/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005181841/4242005181841.png;
"Pequenos Domesticos";Casa;"Aspiradores Com Saco";"Bosch | Pequenos Domesticos";061823;4242005183715;2;"Aspirador Bosch BGL-2-UK-438";"550 W. <br />  75 dB. <br />  Bag&Bagless: pode ser utilizado com ou sem saco. <br />  Utiliza um recipiente de pó, para redução de custos ou um saco higiénico para o mínimo contacto com o pó. <br />  BigCapacity: design super-leve e compacto com grande capacidade saco 3,5 l. <br />  Capacidade depósito para utilização sem saco: 0,7 l. <br />  Filtro PureAir, para um ar de exaustão mais limpo. <br />  Escova comutável. <br />  Bocal para fendas e escova para estofos. <br />  Raio de ação: 8 m.";91,99;https://www.orima.pt/backoffice/img/front/prods/4242005183715/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005183715/4242005183715.png;
"Pequenos Domesticos";Casa;"Aspiradores Com Saco";"Bosch | Pequenos Domesticos";061826;4242005200184;2;"Aspirador Bosch BGBS-4-HYG-1";"600 W. <br />  QuattroPower System. <br />  Filtro higiénico UltraAllergy especialmente desenhado para quem sofre de alergias. <br />  Escova comutável. <br />  Escova para pavimentos duros, indicada para limpeza de soalhos sensíveis. <br />  Bocal para fendas extra longo.<br />  Escova para colchões. <br />  Escova para estofos. <br />  Sacos para pó AirFresh com tecnologia de carbono ativo, ideal para eliminação de odores.<br />  Capacidade saco 4 l. <br />  4 rodas para fácil mobilidade. <br />  Raio de ação: 10m.";143,08;https://www.orima.pt/backoffice/img/front/prods/4242005200184/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005200184/4242005200184.png;
"Pequenos Domesticos";Casa;"Aspiradores Com Saco";"Bosch | Pequenos Domesticos";061828;4242005202447;1;"Aspirador Bosch BGB-2-HYG-1";"600 W. <br />  80 dB. <br />  Filtro higiénico UltraAllergy especialmente desenhado para quem sofre de alergias. <br />  Escova comutável. <br />  Bocal para fendas e escova para estofos. <br />  Sacos para pó AirFresh com tecnologia de carbono ativo, ideal para eliminação de odores.  <br />  BigCapacity: design super-leve e compacto com grande capacidade saco 3,5 l. <br />  Raio de ação: 8 m. ";80,87;https://www.orima.pt/backoffice/img/front/prods/4242005202447/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005202447/4242005202447.png;
"Pequenos Domesticos";Casa;"Aspiradores Verticais";"Bosch | Pequenos Domesticos";061835;4242005183272;2;"Aspirador Vertical Bosch BBHF-216";"16 V Lithium. <br />  2 em 1: aspirador vertical e aspirador de mão. <br />  Recarregável e sem fios. <br />  Escova eléctrica Turbo rotativa. <br />  Autonomia: até 36 min.<br />  Bastante leve (apenas 2,4Kg), ergonómico e dobrável, permitindo fácil manuseio. <br />  Mantem-se em pé, sem suporte e sem apoio. ";91,99;https://www.orima.pt/backoffice/img/front/prods/4242005183272/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005183272/4242005183272.png;
"Pequenos Domesticos";Casa;"Aspiradores Verticais";"Bosch | Pequenos Domesticos";061839;4242005231898;2;"Aspirador Vertical Bosch BCH-86-HYG-2";"28 V max. Autonomia: até 60 min. SmartSensor Control: medição através de sensores do nível de performance garantindo um desempenho de limpeza consistente e mínima manutenção. ProHygienic: sistema triplo de filtragem do ar de exaustão, para uma filtragem de 99,9% de partículas (ácaros, bactérias, pólen e outros alergénios). AllFloor HighPower Brush: escova eléctrica para um elevado desempenho em todo o tipo de superfícies. Fácil limpeza do filtro com RotationClean - lavagem não é necessária. ";186,64;https://www.orima.pt/backoffice/img/front/prods/4242005231898/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242005231898/4242005231898.png;
Frio;"Congeladores Verticais";"Congeladores Verticais <120cm";Orima;070335;5603883211744;2;"Congelador Vertical Orima ORS-92";"Capacidade bruta total: 70 L<br />  Porta reversível<br />  3 gavetas de congelação<br />  Capacidade de congelação: 4Kg/24h<br />  Nível de ruído: 39 dB<br />  Consumo anual de energia: 199 kWh<br />  Tempo de subida da temperatura: 15 h<br />  Classificação energética: F<br />  <br />  Dimensões: A845xL501xP540 mm<br />  <br />  <br />  <br />  ";112,5;https://www.orima.pt/backoffice/img/front/prods/5603883211744/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211744/5603883211744.png;F
Frio;"Frigorificos 1 Porta";"Frigorificos Mini-bar";Orima;070394;5603883211607;2;"MINI-BAR Orima ORCH-41-B";"Capacidade bruta total: 32L<br />  Capacidade de arrefecimento: 5ºC a 18ºC (temperatura ambiente 25ºC)<br />  Tecnologia de tubo de calor<br />  Sem compressor<br />  Amigo do ambiente - s/CFC<br />  Muito silencioso<br />  Luz LED interior<br />  Porta Reversível<br />  Prateleira em plástico<br />  Ruído: 0 dB<br />  Consumo anual de energia: 96 kWh/ano<br />  Nova Classificação energética: G<br />  <br />  <br />  Dimensões do Produto: A545xL405xP435 mm<br />  <br />  Disponível nas cores: preto<br />  ";88,54;https://www.orima.pt/backoffice/img/front/prods/5603883211607/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211607/5603883211607.png;G
"Pequenos Domesticos";"Micro Ondas";"Micro Ondas C/grill 21 A 29l";Orima;071014;5603883503344;2;"Micro Ondas Orima OR-823-AM";"Capacidade: 23 L<br />  Potência do microondas: 800 W<br />  Potência do grelhador: 1.000 W<br />  Comandos Manuais<br />  9 níveis de potência<br />  Função descongelação<br />  3 menus automáticos<br />  Sinalização de fim de cozedura<br />  Prato rotativo 270 mm<br />  Branco<br />  Dimensões do Produto: A292.5xL485xP395 mm";47,81;https://www.orima.pt/backoffice/img/front/prods/5603883503344/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883503344/5603883503344.png;
"Pequenos Domesticos";"Micro Ondas";"Micro Ondas S/grill AtÉ 20l";Orima;071033;5603883504075;2;"Micro Ondas Orima OR-720-CC";"Capacidade: 20 L<br />  Potência do Microondas: 700 W<br />  5 níveis de potência<br />  Função descongelação por tempo ou peso<br />  Sinalização de fim de cozedura<br />  Prato rotativo: 255 mm<br />  Branco<br />  <br />  Dim. Produto: A259xL440xP346 mm";34,81;https://www.orima.pt/backoffice/img/front/prods/5603883504075/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883504075/5603883504075.png;
