gamma;family;category;brand;reference;ean13;stock;description;details;wholesale_price;image;energy_class_png;energy_class_string
Climatizaçao;"Ar Condicionado";"Ar Condicionado Inverter";Orima;070119;5603883211256;1;"ar Condicionado Orima ORTX-18-R-32 A++";"Função arrefecimento e aquecimento<br />  Função desumidificador e anti-humidade<br />  Alta eficiência energética<br />  Refrigerante R32 - amigo do ambiente<br />  LED com indicação de temperatura<br />  Modo de funcionamento noturno<br />  Controlo remoto com visor LED<br />  Filtro de carvão<br />  Kit de montagem com 3 m<br />  <br />  Modo Frio<br />  SEER - Eficiência sazonal em arrefecimento: 6,1<br />  Eficiência energética: A ++<br />  Capacidade nominal de arrefecimento: 5.1 kW<br />  Consumo anual de energia: 293 kWh/ano<br />  Caudal de ar: 800 m3/h<br />  <br />  Modo Quente<br />  SCOP - Coeficiente de rendimento sazonal (em aquecimento): 4.0<br />  Eficiência energética: A+<br />  Capacidade nominal de aquecimento: 4.3 kW<br />  Consumo anual de energia: 1575 kWh/ano<br />  Caudal de ar: 800 m3/h<br />  <br />  Nível de Ruído da unidade interior: 53 dB<br />  Nível de Ruído da unidade exterior: 65 dB<br />  <br />  Dimensões do Produto:<br />  Unidade Interior: A294xL910xP206 mm<br />  Unidade Exterior: A602xL853xP349 mm<br />  <br />  Dimensões da Embalagem:<br />  Unidade Interior: A372xL979xP277 mm<br />  Unidade Exterior: A628xL890xP385 mm<br />  <br />  Peso Desembalado Kg:<br />  Unidade Interior: 10<br />  Unidade Exterior: 35<br />  <br />  Peso Embalado Kg:<br />  Unidade Interior: 13<br />  Unidade Exterior: 39<br />  ";365,76;https://www.orima.pt/backoffice/img/front/prods/5603883211256/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211256/5603883211256.png;A++/A+
Climatizaçao;"Ar Condicionado";"Ar Condicionado Inverter";Orima;070129;5603883211263;2;"ar Condicionado Orima ORTX-24-R-32 A++";"Função arrefecimento e aquecimento<br />  Função desumidificador e anti-humidade<br />  Alta eficiência energética<br />  Refrigerante R32 - amigo do ambiente<br />  LED com indicação de temperatura<br />  Modo de funcionamento noturno<br />  Controlo remoto com visor LED<br />  Filtro de carvão<br />  Kit de montagem com 3 m<br />  <br />  Modo Frio<br />  SEER - Eficiência sazonal em arrefecimento: 6,8<br />  Eficiência energética: A ++<br />  Capacidade nominal de arrefecimento: 6.5 kW<br />  Consumo anual de energia: 366 kWh/ano<br />  Caudal de ar: 970 m3/h<br />  <br />  Modo Quente<br />  SCOP - Coeficiente de rendimento sazonal (em aquecimento): 4.1<br />  Eficiência energética: A+<br />  Capacidade nominal de aquecimento: 5.3 kW<br />  Consumo anual de energia: 1878 kWh/ano<br />  Caudal de ar: 980 m3/h<br />  <br />  Nível de Ruído da unidade interior: 54 dB<br />  Nível de Ruído da unidade exterior: 67 dB<br />  <br />  Dimensões do Produto:<br />  Unidade Interior: A315xL1010xP220 mm<br />  Unidade Exterior: A699xL920xP380 mm<br />  <br />  Dimensões da Embalagem:<br />  Unidade Interior: A390xL1096xP297 mm<br />  Unidade Exterior: A732xL960xP430 mm<br />  <br />  Peso Desembalado Kg:<br />  Unidade Interior: 13<br />  Unidade Exterior: 40<br />  <br />  Peso Embalado Kg:<br />  Unidade Interior: 16<br />  Unidade Exterior: 46<br />  <br />  <br />  <br />  <br />  <br />  <br />  <br />  <br />  <br />  <br />  <br />  <br />  ";469,02;https://www.orima.pt/backoffice/img/front/prods/5603883211263/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211263/5603883211263.png;A++/A+
Frio;"Frigorificos 1 Porta";"Frigorificos Mini-bar";Orima;070398;5603883210372;2;"MINI-BAR Orima ORS-45-W";"Capacidade bruta total: 45 L<br />  Capacidade net do Frigorífico: 43 L<br />  Com congelador<br />  Porta Reversível<br />  Prateleira em grelha<br />  Nível de Ruído: 42 dB<br />  Consumo anual de energia: 105 kWh<br />  Dimensões: A492 x L472 x P450 mm<br />  Classe Energética: A +<br />  <br />  Disponível nas cores: branco e preto<br />  <br />  <br />  ";55,45;https://www.orima.pt/backoffice/img/front/prods/5603883210372/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883210372/5603883210372.png;A+
Frio;"Frigorificos 1 Porta";"Frigorificos Mini-bar";Orima;070399;5603883210389;2;"MINI-BAR Orima ORS-45-B";"Capacidade bruta total: 45 L<br />  Capacidade net do Frigorífico: 43 L<br />  Com congelador<br />  Porta Reversível<br />  Prateleira em grelha<br />  Nível de Ruído: 42 dB<br />  Consumo anual de energia: 105 kWh<br />  Dimensões: A492 X L472 x P450 mm<br />  Classe Energética: A +<br />  <br />  Disponível nas cores: branco e preto<br />  <br />  ";55,45;https://www.orima.pt/backoffice/img/front/prods/5603883210389/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883210389/5603883210389.png;A+
Frio;"Frigorificos Side By Side";"Frigorificos Side By Side S/dispensador";Orima;070912;5603883211478;2;"Side BY Side Orima ORH-551-X";"Capacidade bruta total: 442 L<br />  Capacidade Net do frigorífico: 291 L<br />  Capacidade Net do congelador: 151 L<br />  No Frost Total<br />  Controlo eletrónico com display LED<br />  Modo Férias<br />  Luz interior LED<br />  Bloqueio Infantil<br />  Prateleiras em vidro<br />  Gavetas para frutos e vegetais<br />  2 gavetas e 3 compartimentos de congelação<br />  Capacidade de congelação: 11,2 Kg/24 h<br />  Nível de Ruído: 40 dB<br />  Consumo anual de energia: 359 Kwh<br />  Dimensões: A1770xL900xP590 mm<br />  Classificação energética: F<br />  <br />  Disponível nas cores: Inox<br />  <br />  <br />  <br />  <br />  <br />  ";375,33;https://www.orima.pt/backoffice/img/front/prods/5603883211478/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211478/5603883211478.png;F
Frio;"Frigorificos Side By Side";"Frigorificos Side By Side S/dispensador";Orima;070913;5603883211485;2;"Side BY Side Orima ORH-449-X";"4 Portas<br />  Capacidade Net do Frigorífico: 237 L<br />  Capacidade Net Congelador: 125 L<br />  No Frost Total<br />  Controlo eletrônico com display LED<br />  Luz interior LED<br />  Prateleiras em Vidro<br />  Gaveta para frutos e vegetais com controlo de humidade<br />  6 Gavetas de Congelação<br />  Função ECO<br />  Função congelamento rápido<br />  Sistema descongelação Automático<br />  Alarme na porta<br />  Tempo de armazenamento durante corte de energia: 690 min.<br />  Capacidade de Congelação: 10 Kg/24h<br />  Nível de Ruído: 40 dB(A)<br />  Consumo anual de energia: 328 kWh<br />  Classificação energética: F<br />  <br />  Dimensões Produto:A1800xL795xP612 mm<br />  ";415,63;https://www.orima.pt/backoffice/img/front/prods/5603883211485/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211485/5603883211485.png;F
"Pequenos Domesticos";"Micro Ondas";"Micro Ondas S/grill AtÉ 20l";Orima;071013;5603883503238;2;"Micro Ondas Orima OR-720-CWW";"Capacidade: 20 L<br />  Potência do microondas: 700 W<br />  5 níveis de potência<br />  Função descongelação<br />  Sinalização de fim de cozedura<br />  Prato rotativo 255 mm<br />  <br />  Dimensões do Produto: A257xL440xP330 mm<br />  Dimensões da Embalagem: A280xL465xP360 mm";34,13;https://www.orima.pt/backoffice/img/front/prods/5603883503238/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883503238/5603883503238.png;
"Pequenos Domesticos";"Micro Ondas";"Micro Ondas C/grill 21 A 29l";Orima;071022;5603883503641;2;"Micro Ondas Orima OR-925";"Capacidade: 25 L<br />  Potência do Microondas:900 W<br />  Potência do Grelhador: 1000 W<br />  Comandos Digitais<br />  5 Níveis de potência<br />  Função descongelação por tempo ou peso<br />  8 Menus automáticos<br />  Bloqueio Infantil<br />  Prato rotativo 315 mm<br />  Inox<br />  <br />  Dim. Prod.: A305xL510xP395 mm";58,81;https://www.orima.pt/backoffice/img/front/prods/5603883503641/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883503641/5603883503641.png;
Encastre;"Micro Ondas Encastre";"Micro Ondas Encastre C/grill AtÉ 20l";Orima;071031;5603883503900;2;"Micro Ondas Orima OR-820-X - Encastre";"Capacidade: 20 L<br />  Potência do microondas: 800 W<br />  Potência do grelhador: 1.000 W<br />  Display digital<br />  Interior inox<br />  Função descongelação <br />  Menus automáticos<br />  Bloqueio infantil<br />  Prato rotativo 245 mm<br />  Inox<br />  Dimensões: A388xL594xP344 mm<br />  ";88,91;https://www.orima.pt/backoffice/img/front/prods/5603883503900/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883503900/5603883503900.png;
"Pequenos Domesticos";"Micro Ondas";"Micro Ondas C/grill 21 A 29l";Orima;071034;5603883504082;2;"Micro Ondas Orima OR-928";"Capacidade: 28 L<br />  Potência do Microondas:900 W<br />  Potência do Grelhador: 1150 W<br />  Grelhador à vista<br />  Função descongelação por tempo ou peso<br />  8 Menus automáticos<br />  Bloqueio Infantil<br />  Prato rotativo 315 mm<br />  Inox<br />  <br />  Dim. Prod.: A305xL513xP430 mm";62,86;https://www.orima.pt/backoffice/img/front/prods/5603883504082/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883504082/5603883504082.png;
